"","PC1","PC2","PC3","PC4","PC5"
"2.A.1 Active Listening",-0.138597237254828,-0.0420920613565745,0.0248444609405912,-0.0499111142970043,0.0143941510192357
"2.A.1 Mathematics",-0.0860774638032892,0.0860910506753134,0.169289572149823,0.0438307795706841,-0.129301549771752
"2.A.1 Reading Comprehension",-0.136962493882297,-0.0127694362831993,0.100714574673345,-0.0534794165952759,-0.00806782725099974
"2.A.1 Science",-0.0662551567524505,0.0863734533139741,0.12845784529447,-0.186466380094235,-0.053789716877474
"2.A.1 Speaking",-0.141275452324368,-0.0397439648666438,-0.00180775555376095,-0.0189793748513808,0.0194390947245811
"2.A.1 Writing",-0.137139767731822,-0.0229897305594249,0.0801271730235538,-0.0400997424912578,0.0076563380278486
"2.A.2 Active Learning",-0.140770132896732,0.0178849734990011,0.0465683316206762,-0.0471282871158883,0.0354596238380448
"2.A.2 Critical Thinking",-0.139246677707735,0.028880537878269,0.0513613235752079,-0.0485467741427809,-0.0181149598496198
"2.A.2 Learning Strategies",-0.127478680322143,0.0176793055836483,-0.0496778921506372,-0.0462470003330382,0.0850800603233082
"2.A.2 Monitoring",-0.124273080921154,0.0506193354648148,-0.0681323138439563,-0.0333810582248471,-0.0316593464263459
"2.B.1 Coordination",-0.119725091691859,0.0401958415547718,-0.141784700618453,0.0659567203084094,0.0258239816837429
"2.B.1 Instructing",-0.12657817096169,0.0250572569821088,-0.0671226447423333,-0.0478562553330813,0.0854650748103281
"2.B.1 Negotiation",-0.129380688663561,-0.0208108171617382,-0.0808597611015269,0.103306695105228,0.00643588160657446
"2.B.1 Persuasion",-0.133211545968295,-0.0242533410985101,-0.0672717359295727,0.0719542606890902,0.0342568610929948
"2.B.1 Service Orientation",-0.109066778490076,-0.0842205420048335,-0.105035336606084,-0.058779991248729,0.0703276789737304
"2.B.1 Social Perceptiveness",-0.126314924986703,-0.0582847320896275,-0.124745426853756,-0.0478245870823768,0.0629827283011434
"2.B.2 Complex Problem Solving",-0.133745567230289,0.065871552068834,0.0673851185436038,-0.0297149703195123,0.0240474507610097
"2.B.3 Equipment Maintenance",0.07265400981632,0.177926487836062,-0.0499011702171896,-0.0554162270952277,0.0958164584017621
"2.B.3 Equipment Selection",0.0626326077776303,0.191539045148216,-0.0237760505173496,-0.0335303697179041,0.111673424395425
"2.B.3 Installation",0.0345870955782832,0.122085469397717,0.0227662244056153,-0.0345259857808228,0.214487978107144
"2.B.3 Operation and Control",0.0766401437913902,0.175238218566279,-0.0823658903546153,-0.0646530570968166,-0.0135077077526491
"2.B.3 Operation Monitoring",0.0588512556972861,0.202324036653242,-0.0413871417983757,-0.0658891107358602,-0.0268120224263517
"2.B.3 Operations Analysis",-0.0917682586919648,0.0956685011661367,0.0981909941365287,0.0881306574094872,0.0657654864522488
"2.B.3 Programming",-0.0507189977669093,0.0331155024333072,0.229128543829832,0.000682450017481879,0.0320627702814044
"2.B.3 Quality Control Analysis",0.0413261324702998,0.206166560309162,0.0128675476811238,-0.0226634893898195,0.0176601436964399
"2.B.3 Repairing",0.0701757147388805,0.175101712755071,-0.0447447382674743,-0.0496721051755407,0.117893348656885
"2.B.3 Technology Design",-0.0456382490132161,0.124208594298402,0.168392712041964,0.00548242462081756,0.138999009126819
"2.B.3 Troubleshooting",0.063547517420683,0.202398208462827,-0.0186238588548199,-0.0596926707116995,0.0942917362857042
"2.B.4 Judgment and Decision Making",-0.137335329416765,0.0364992924848475,0.0283894018196949,-0.0288813094763109,-0.000589780808953667
"2.B.4 Systems Analysis",-0.132036734501275,0.0757978525888365,0.0687660619659647,0.0247086895362548,0.0216628489132129
"2.B.4 Systems Evaluation",-0.132514089430615,0.0750852409481589,0.0461128492349811,0.0233658184695555,0.0241522776189488
"2.B.5 Management of Financial Resources",-0.102892115571193,0.0531047370103773,-0.0548740228188084,0.204994524693457,-0.0707851167654052
"2.B.5 Management of Material Resources",-0.0960659537384881,0.0871787277808835,-0.082655878248066,0.173291277961156,-0.0390531053780942
"2.B.5 Management of Personnel Resources",-0.114132720916694,0.0664390210720096,-0.128511683022766,0.109394092855303,-0.0190345910052607
"2.B.5 Time Management",-0.123979143300529,0.0451664314024915,-0.0837815407855803,0.0734942568048518,-0.00809523675137792
"2.C.1 Administration and Management",-0.117653394514242,0.041069616437918,-0.0769115841964023,0.159957618224054,-0.0388576429169215
"2.C.1 Clerical",-0.0925936244313233,-0.0798773645636972,0.0260841856025329,0.0176226220528683,-0.0622447541014739
"2.C.1 Customer and Personal Service",-0.0879308079666698,-0.0774919769633419,-0.0956503960787943,-0.0387759712844755,0.0261602988059674
"2.C.1 Economics and Accounting",-0.0888522652204994,-0.0145538827683257,0.00676886981082826,0.162490464090523,-0.137682029821369
"2.C.1 Personnel and Human Resources",-0.112737875691874,0.0167805400281567,-0.129339869155479,0.110226481173297,-0.0683893679624335
"2.C.1 Sales and Marketing",-0.0637798796826687,-0.0414335509547337,-0.0291370077760966,0.162790836737418,0.100875081964843
"2.C.1 Transportation",-0.00389446671189872,0.0728638930784331,-0.0906971949123063,0.016042698638077,-0.00575109124876915
"2.C.2 Food Production",0.0105183613183825,0.00147852972433498,-0.0815455756795475,0.0555949396509055,-0.0493785785577068
"2.C.2 Production and Processing",0.0149914938626603,0.143545233905964,-0.0233454259288838,0.1488747978541,-0.0828985371617878
